test;tSeq;tPar2;speedUp2;tPar4;speedUp4;tPar6;speedUp6;tPar8;speedUp8;fpr;
1000;0.020;0.012;1.667;0.000;inf;0.000;inf;0.006;3.333;0.051;
12000;0.133;0.080;1.663;0.040;3.325;0.044;3.023;0.040;3.325;0.051;
23000;0.242;0.128;1.891;0.071;3.408;0.071;3.408;0.059;4.102;0.053;
34000;0.355;0.188;1.888;0.110;3.227;0.088;4.034;0.080;4.438;0.051;
45000;0.469;0.240;1.954;0.136;3.449;0.128;3.664;0.110;4.264;0.053;
56000;0.595;0.305;1.951;0.183;3.251;0.146;4.075;0.138;4.312;0.048;
67000;0.715;0.360;1.986;0.210;3.405;0.185;3.865;0.160;4.469;0.049;
78000;0.806;0.420;1.919;0.252;3.198;0.225;3.582;0.181;4.453;0.050;
89000;0.915;0.480;1.906;0.283;3.233;0.250;3.660;0.231;3.961;0.050;
100000;1.100;0.580;1.897;0.325;3.385;0.289;3.806;0.259;4.247;0.049;
