test;tSeq;tPar2;speedUp2;tPar4;speedUp4;tPar6;speedUp6;tPar8;speedUp8;tPar10;speedUp10;tPar12;speedUp12;tPar14;speedUp14;tPar16;speedUp16;fpr;
1000;0.010;0.006;1.667;0.004;2.500;0.002;5.000;0.003;3.333;0.002;5.000;0.003;3.333;0.003;3.333;0.002;5.000;0.052;
1112000;10.335;5.050;2.047;2.600;3.975;1.966;5.257;1.640;6.302;1.483;6.969;1.357;7.616;1.285;8.043;1.172;8.818;0.050;
2223000;20.871;10.088;2.069;5.121;4.076;3.897;5.356;3.254;6.414;2.940;7.099;2.725;7.659;2.548;8.191;2.353;8.870;0.051;
3334000;31.440;15.133;2.078;7.683;4.092;5.832;5.391;4.924;6.385;4.431;7.095;4.078;7.710;3.828;8.213;3.600;8.733;0.051;
4445000;41.284;20.042;2.060;10.208;4.044;7.800;5.293;6.555;6.298;5.871;7.032;5.458;7.564;5.176;7.976;4.988;8.277;0.054;
5556000;50.836;25.295;2.010;12.753;3.986;9.855;5.158;8.242;6.168;7.436;6.836;6.816;7.458;6.581;7.725;6.455;7.875;0.050;
6667000;62.904;30.174;2.085;15.326;4.104;11.776;5.342;9.868;6.375;8.912;7.058;8.216;7.656;8.121;7.746;7.914;7.948;0.048;
7778000;72.351;35.258;2.052;17.931;4.035;13.774;5.253;11.488;6.298;10.368;6.978;9.695;7.463;9.566;7.563;9.259;7.814;0.055;
8889000;83.581;40.337;2.072;20.376;4.102;15.836;5.278;13.312;6.279;11.901;7.023;11.163;7.487;10.927;7.649;10.636;7.858;0.054;
10000000;93.506;45.290;2.065;23.049;4.057;17.608;5.310;15.056;6.211;13.470;6.942;12.749;7.334;12.457;7.506;12.045;7.763;0.052;
